;Latitude;Longitude;Weight
5;40.67458330800008;-73.93022154099998;5
7;40.65165467100008;-73.93232493699999;5
8;40.635839049000026;-73.98589935799998;5
9;40.64633820900008;-74.01083732399997;2
10;40.69460248300004;-73.97312472899995;5
17;40.70629036500002;-73.95035033099998;5
18;40.696184932000044;-73.98035822199995;2
20;40.67141166300007;-73.88151172399995;5
21;40.64014518700003;-74.01726445799993;2
23;40.687732210000036;-73.93749147799997;5
24;40.683363040000074;-73.97486713399995;2
25;40.66416202000005;-73.94681681999998;5
28;40.650091704000026;-73.94560996599995;5
33;40.59996932400003;-73.94615134099996;2
34;40.61071712900008;-73.92098528299994;2
37;40.673245965000035;-73.96498962499999;5
42;40.67141166300007;-73.88151172399995;2
43;40.66929894800006;-73.87960493499997;5
44;40.67141166300007;-73.88151172399995;5
50;40.59406298000005;-73.96086869299995;5
51;40.57516617400006;-73.99802879599997;2
53;40.641794281000045;-73.93514191399998;2
55;40.576645978000045;-73.97648039599994;2
67;40.65414441200004;-73.91233116099994;5
70;40.63593865900003;-73.97457153399995;2
76;40.640972850000026;-73.92923335999996;5
77;40.688743368000075;-73.94498708099997;5
78;40.62851560000007;-73.94138369799998;5
82;40.677809228000065;-73.87330200499997;2
84;40.67141166300007;-73.88151172399995;5
87;40.67081759000007;-73.93511008699994;5
93;40.67459999000005;-73.93057482199998;5
94;40.638667594000026;-74.02246340399995;5
99;40.68112594000007;-73.97436682299997;2
103;40.67597640200007;-73.96302338199997;5
106;40.68979733400005;-73.97751865299993;5
116;40.64886266100008;-73.90781546899994;5
117;40.70629036500002;-73.95035033099998;5
121;40.63818926000005;-73.96385141699994;5
122;40.642570404000026;-73.90632156399994;5
126;40.70629036500002;-73.95035033099998;5
127;40.62278316900005;-73.93887433999998;5
133;40.69699455600005;-73.93522525599997;5
139;40.65170090400005;-73.86844675099995;2
143;40.67140715000005;-73.92948225299993;2
144;40.69536744700008;-73.98324342499996;5
147;40.62572501600005;-73.99104937999994;5
