;Building Code;Address;Location Name;RangeA;lon;lat;valid_coordinates;in_brooklyn
0;K001;309 47 STREET;P.S. 001 The Bergen;1500;-73.9996623;40.6379042;True;True
1;K002;655 PARKSIDE AVENUE;Parkside Preparatory Academy;1000;-73.9515241;40.6564413;True;True
2;K003;50 JEFFERSON AVENUE;P.S. 003 The Bedford Village;750;-73.9555438449292;40.682302449999995;True;True
3;K005;820 HANCOCK STREET;P.S. 005 Dr. Ronald Mcnair;500;-73.9226032;40.6855458;True;True
4;K006;43 SNYDER AVENUE;P.S. 006;750;-73.9561111;40.6488889;True;True
5;K007;858 JAMAICA AVENUE;P.S. 007 Abraham Lincoln;1250;-73.87313338576763;40.68932475;True;True
6;K008;37 HICKS STREET;P.S. 008 Robert Fulton;1000;-73.99276080491771;40.700800900000004;True;True
7;K009;80 UNDERHILL AVENUE;P.S. 009 Teunis G. Bergen;1000;-73.9657362;40.6783215;True;True
8;K009;80 Underhill Ave;BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN);500;-73.9657362;40.6783215;True;True
9;K010;511 7 AVENUE;Magnet School of Math, Science and Design Technolo;1250;-73.9667364066186;40.588854196323425;True;True
10;K011;419 WAVERLY AVENUE;P.S. 011 Purvis J. Behan;1000;-73.96583810763471;40.6855509;True;True
11;K012;430 HOWARD AVENUE;Ronald Edmonds Learning Center II;500;-73.9197565;40.6728542;True;True
12;K013;557 PENNSYLVANIA AVENUE;P.S. 013 Roberto Clemente;1000;-73.89327816899589;40.66392645;True;True
13;K014;2424 BATCHELDER STREET;PS 77(BROOKLYN);1000;-73.9377956;40.5934838;True;True
14;K015;71 SULLIVAN STREET;P.S. 015 Patrick F. Daly;500;-74.01195231409375;40.67693345;True;True
15;K016;157 WILSON STREET;WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN);750;-73.96182709405845;40.706023200000004;True;True
16;K017;208 NORTH  5 STREET;P.S. 017 Henry D. Woodworth;1000;-73.99931696385194;40.576995499999995;True;True
17;K018;101 MAUJER STREET;P.S. 018 Edward Bush;250;-73.9468991;40.71072;True;True
19;K020;225 ADELPHI STREET;P.S. 020 Clinton Hill;1000;-73.97109904546058;40.6910261;True;True
20;K021;180 CHAUNCEY STREET;P.S. 021 Crispus Attucks;750;-73.92604270728506;40.6803709;True;True
21;K022;443 ST MARKS AVENUE;P.S. 022;500;-73.96028;40.67694;True;True
22;K022;443 ST. MARKS AVENUE;443 ST MARKS AVENUE CONSOLIDATED LOCATION;1000;-73.96028;40.67694;True;True
23;K023;545 WILLOUGHBY AVENUE;P.S. 023 Carter G. Woodson;750;-73.94747129298835;40.694414300000005;True;True
24;K023 ;545 WILLOUGHBY AVENUE;Brooklyn Charter School;250;-73.94747129298835;40.694414300000005;True;True
25;K024;427 38 STREET;P.S. 024;750;-73.9996623;40.6379042;True;True
26;K025;787 LAFAYETTE AVENUE;Upper School @ P.S. 25;500;-73.94071490548063;40.691475600000004;True;True
27;K026;1014 LAFAYETTE AVENUE;P.S. 026 Jesse Owens;750;-73.9322533076923;40.69199046153846;True;True
28;K027;27 HUNTINGTON STREET;Summit Academy Charter School;750;-74.00497896557891;40.677848499999996;True;True
29;K028;1001 HERKIMER STREET;P.S. 028 The Warren Prep Academy;250;-73.9202186;40.6781614;True;True
30;K029;425 HENRY STREET;P.S. 029 John M. Harrigan;1000;-73.99766793985955;40.6868795;True;True
31;K031;75 MESEROLE AVENUE;P.S. 031 Samuel F. Dupont;750;-73.95399598250972;40.726907100000005;True;True
32;K032;317 HOYT STREET;P.S. 032 Samuel Mills Sprole;750;-73.99127362229169;40.6802926;True;True
33;K033;70 TOMPKINS AVENUE;The Urban Assembly School for the Urban Environmen;500;-73.94730064627268;40.69670995;True;True
34;K034;131 NORMAN AVENUE;P.S. 034 Oliver H. Perry;750;-73.9497692670706;40.72639205;True;True
35;K035;272 MACDONOUGH STREET;M.S. 035 Stephen Decatur;500;-73.9355312;40.6818194;True;True
36;K038;450 PACIFIC STREET;P.S. 038 The Pacific;750;-73.9828250726062;40.68495485;True;True
37;K039;417 6 AVENUE;P.S. 039 Henry Bristow;500;-73.9703214117647;40.588454;True;True
38;K040;265 RALPH AVENUE;P.S. 040 George W. Carver;750;-73.92146604408174;40.680196499999994;True;True
39;K041;411 THATFORD AVENUE;P.S. 041 Francis White;750;-73.90705321058172;40.6601813;True;True
40;K043;1401 EMMONS AVENUE;I.S. 98 Bay Academy;1500;-73.95422031017692;40.58377285;True;True
41;K044;432 MONROE STREET;P.S. 044 Marcus Garvey;500;-73.94116259619689;40.6861818;True;True
42;K045;84 SCHAEFER STREET;P.S./I.S. 045 Horace E. Greene;1000;-73.91033667385625;40.686701799999994;True;True
43;K046;100 CLERMONT AVENUE;P.S. 046 Edward C. Blum;750;-73.97165866362695;40.6945922;True;True
44;K048;6015 18 AVENUE;P.S. 048 Mapleton;750;-73.990414;40.620671;True;True
45;K049;223 GRAHAM AVENUE;Lyons Community School;1500;-73.943911;40.7098149;True;True
47;K051;350 5 AVENUE;M.S. 51 William Alexander;1250;-73.97280036464088;40.588014430939225;True;True
50;K055;2021 BERGEN STREET;Brooklyn Collegiate: A College Board School;500;-73.91352113697846;40.67449860000001;True;True
51;K055;2021 Bergen Street;ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL(BN);1000;-73.91352113697846;40.67449860000001;True;True
52;K056;170 GATES AVENUE;The Urban Assembly Unison School;500;-73.96027539659976;40.684069;True;True
53;K057;125 STUYVESANT AVENUE;The Brooklyn Academy of Global Finance;500;-73.9332614;40.6917087;True;True
54;K058;330 SMITH STREET;P.S. 058 The Carroll;1000;-73.995048;40.680303;True;True
55;K059;211 THROOP AVENUE;SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2(BN);750;-73.94348646048749;40.6975041;True;True
56;K061;400 EMPIRE BOULEVARD;M.S. 061 Dr. Gladstone H. Atwell;1000;-73.94950749185615;40.66365415;True;True
57;K062;700 CORTELYOU ROAD;J.H.S. 062 Ditmas;1500;-73.97132481406734;40.63816405;True;True
59;K067;51 SAINT EDWARDS STREET;P.S. 067 Charles A. Dorsey;500;-73.9779092;40.6950782;True;True
61;K069;6302 9TH AVENUE;P.S. 69 Vincent D. Grippo School;1000;-74.0095225;40.6323855;True;True
62;K071;215 HEYWARD STREET;Juan Morel Campos Secondary School;1000;-73.95378415472399;40.703832899999995;True;True
63;K072;605 SHEPHERD AVENUE;East New York Middle School of Excellence;1000;-73.87920550185237;40.66957195;True;True
65;K075;95 GROVE STREET;P.S. 075 Mayda Cortiella;750;-73.92114270572984;40.693164499999995;True;True
68;K081;990 DEKALB AVENUE;P.S. 081 Thaddeus Stevens;500;-73.93435685950807;40.69292515;True;True
69;K084;250 BERRY STREET;P.S. 084 Jose De Diego;750;-73.9636886258322;40.714944599999995;True;True
70;K085;510 CLERMONT AVENUE;P.S. K753 - School for Career Development;250;-73.96944346361745;40.6834798;True;True
71;K086;220 IRVING AVENUE;P.S. 086 The Irvington;500;-73.91779853620689;40.7005989;True;True
72;K088;544 7TH AVENUE;P.S. K053;2500;-73.98793069829736;40.660181050000006;True;True
74;K091;532 ALBANY AVENUE;P.S. 091 The Albany Avenue School;500;-73.94022601283055;40.661832149999995;True;True
75;K092;601 PARKSIDE AVENUE;P.S. 092 Adrian Hegeman;500;-73.9540269;40.6562148;True;True
76;K093;31 NEW YORK AVENUE;P.S. 093 William H. Prescott;500;-73.9465267;40.6787143;True;True
77;K094;5010 6 AVENUE;P.S. 094 The Henry Longfellow;1750;-73.985777;40.586668;True;True
78;K095;345 VAN SICKLEN STREET;P.S. 095 The Gravesend;1000;-73.97487355272352;40.5959595;True;True
79;K096;99 AVENUE P;SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST(BS);750;-73.9849061;40.6077255;True;True
80;K097;1855 STILLWELL AVENUE;P.S. 97 The Highlawn;1000;-73.98576368308737;40.60130265;True;True
81;K099;1120 EAST  10 STREET;P.S. 099 Isaac Asimov;1000;-74.0000606231132;40.579143349999995;True;True
82;K100;2951 WEST  3 STREET;P.S. 100 The Coney Island School;1000;-74.00012135;40.573644349999995;True;True
83;K101;2360 BENSON AVENUE;P.S. 101 The Verrazano;1000;-73.99193734256428;40.5973726;True;True
84;K102;211 72 STREET;P.S. 102 The Bayview;1500;-73.9996623;40.6379042;True;True
85;K104;9115 5 AVENUE;P.S./I.S. 104 The Fort Hamilton School;1250;-73.9362774;40.592119;True;True
86;K105;1031 59 STREET;P.S. 105 The Blythebourne;2000;-74.017881;40.641362;True;True
87;K106;1328 PUTNAM AVENUE;P.S. 106 Edward Everett Hale;750;-73.91268318152709;40.69367215;True;True
88;K107;1301 8 AVENUE;P.S. 107 John W. Kimball;750;-73.956443;40.589983;True;True
89;K108;200 LINWOOD STREET;P.S. 108 Sal Abbracciamento;1000;-73.88430974819859;40.6812771;True;True
90;K110;124 MONITOR STREET;P.S. 110 The Monitor;500;-73.94203290322326;40.7236399;True;True
91;K111;35 STARR STREET;I.S. 349 Math, Science & Tech.;1000;-73.9277778;40.7008333;True;True
92;K112;7115 15 AVENUE;P.S. 112 Lefferts Park;750;-73.9005532857143;40.613930714285715;True;True
93;K113;300 ADELPHI STREET;M.S. 113 Ronald Edmonds Learning Center;750;-73.97144651452781;40.68856045;True;True
94;K114;1077 REMSEN AVENUE;P.S. 114 Ryder Elementary;750;-73.90804035597857;40.64274715;True;True
95;K115;1500 EAST  92 STREET;P.S. 115 Daniel Mucatel School;1250;-73.9540269;40.6562148;True;True
96;K116;515 KNICKERBOCKER AVENUE;P.S. 116 Elizabeth L Farrell;750;-73.91658550299985;40.698054850000005;True;True
97;K117;300 WILLOUGHBY AVENUE;MS 596 Peace Academy;750;-73.9583387;40.6925521;True;True
98;K119;3829 AVENUE K;P.S. 119 Amersfort;500;-73.93883092505925;40.6260483;True;True
99;K120;18 BEAVER STREET;P.S. 120 Carlos Tapia;500;-73.93783847045839;40.70064215;True;True
100;K121;5301 20 AVENUE;P.S. 121 Nelson A. Rockefeller;500;-73.985026;40.61741;True;True
101;K123;100 IRVING AVENUE;P.S. 123 Suydam;1000;-73.9225745;40.7039049;True;True
102;K124;515 4 AVENUE;P.S. 124 Silas B. Dutcher;500;-73.96667056926604;40.5888610748528;True;True
103;K126;424 LEONARD STREET;Northside Charter High School;1250;-73.94779234371214;40.719763549999996;True;True
104;K127;7805 7 AVENUE;P.S. 127 Mckinley Park;750;-73.972367;40.67705;True;True
105;K128;2075 84 STREET;P.S. 128 Bensonhurst;500;-73.9634703260196;40.714940150000004;True;True
106;K130;70 OCEAN PARKWAY;P.S. 130 The Parkside;1000;-73.97591940872468;40.6488791;True;True
107;K131;4305 FT HAMILTON PARKWAY;P.S. 131 Brooklyn;1250;-73.9933334;40.6408017;True;True
108;K132;320 MANHATTAN AVENUE;P.S. 132 The Conselyea School;1000;-73.94590041536748;40.71479765;True;True
109;K135;684 LINDEN BOULEVARD;P.S. 135 Sheldon A. Brookner;750;-73.9329691722368;40.653255;True;True
110;K136;4004 4 AVENUE;Sunset Park Prep;1250;-73.989779;40.670272;True;True
111;K137;121 SARATOGA AVENUE;P.S./I.S. 137 Rachel Jean Mitchell;500;-73.91673618591065;40.68227815;True;True
112;K138;760 PROSPECT PLACE;P.S. 138 Brooklyn;750;-73.95135813183899;40.6739501;True;True
113;K139;330 RUGBY ROAD;P.S. 139 Alexine A. Fenty;1250;-73.96572959526615;40.64135435;True;True
114;K142;610 HENRY STREET;P.S. 146;1500;-74.00210945330758;40.679534000000004;True;True
115;K145;100 NOLL STREET;P.S. 145 Andrew Jackson;1000;-73.9323979;40.7014771;True;True
116;K147;325 BUSHWICK AVENUE;Young Women's Leadership School of Brooklyn;750;-73.93866618540903;40.70503765;True;True
117;K148;185 ELLERY STREET;P.S. 373 - Brooklyn Transition Center;500;-73.945277;40.6991494;True;True
118;K149;700 SUTTER AVENUE;P.S. 149 Danny Kaye;750;-73.8927570952102;40.669348;True;True
119;K150;364 SACKMAN STREET;P.S. 150 Christopher;250;-73.90504290036313;40.6686411;True;True
120;K151;763 KNICKERBOCKER AVENUE;P.S. 151 Lyndon B. Johnson;500;-73.908228;40.6933246;True;True
121;K152;2310 GLENWOOD ROAD;P.S. K315;1750;-73.9543593;40.6330674;True;True
123;K153;1970 HOMECREST AVENUE;P.S. 153 Homecrest;750;-73.96002531715402;40.6011596;True;True
124;K154;1625 11 AVENUE;The Windsor Terrace School;750;-73.95327468234429;40.590330796680256;True;True
125;K155;1355 HERKIMER STREET;P.S./ I.S. 155 Nicholas Herkimer;750;-73.9086515;40.6775317;True;True
126;K157;850 KENT AVENUE;P.S./I.S. 157 The Benjamin Franklin Health & Scien;750;-73.9596596;40.6952757;True;True
127;K158;400 ASHFORD STREET;P.S. 158 Warwick;750;-73.88522812144743;40.67261275;True;True
128;K159;2781 PITKIN AVENUE;P.S. 159 Isaac Pitkin;1000;-73.86967060950235;40.6760067;True;True
129;K160;5105 Fort Hamilton Parkway;P.S. 160 William T. Sampson;1500;-73.9990054201757;40.63693025;True;True
130;K161;330 CROWN STREET;SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS);1000;-73.9492320286737;40.6658716;True;True
131;K162;1390 WILLOUGHBY AVENUE;J.H.S. 162 The Willoughby;500;-73.91977342485697;40.7067391;True;True
132;K163;1664 BENSON AVENUE;P.S. 748 Brooklyn School for Global Scholars;750;-74.00727734863412;40.6069325;True;True
