;Building Code;Address;# Schools;Major N;Oth N;NoCrim N;Prop N;Vio N;RangeA;AvgOfMajor N;AvgOfOth N;AvgOfNoCrim N;AvgOfProp N;AvgOfVio N;lon;lat;valid_coordinates;in_brooklyn
0;K001;309 47 STREET;1.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.0;1500.0;0.7966666666666667;3.1666666666666665;5.463333333333334;2.023333333333333;1.49;-73.9996623;40.6379042;True;True
1;K002;655 PARKSIDE AVENUE;3.0;0.6666666666666666;3.3333333333333335;1.3333333333333333;1.3333333333333333;2.0;1000.0;0.4533333333333333;1.6900000000000002;2.5466666666666664;1.1033333333333333;0.7733333333333333;-73.9515241;40.6564413;True;True
2;K003;50 JEFFERSON AVENUE;1.0;0.6666666666666666;0.3333333333333333;1.0;0.6666666666666666;0.3333333333333333;666.6666666666666;0.30333333333333334;1.1133333333333335;1.75;0.75;0.5133333333333333;-73.9555438449292;40.682302449999995;True;True
3;K005;820 HANCOCK STREET;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.3333333333333333;416.6666666666667;0.2866666666666667;0.96;1.3933333333333333;0.68;0.43333333333333335;-73.9226032;40.6855458;True;True
4;K006;43 SNYDER AVENUE;1.0;0.0;0.6666666666666666;1.6666666666666667;0.3333333333333333;0.0;750.0;0.3066666666666667;1.1833333333333336;1.7733333333333334;0.79;0.5433333333333333;-73.9561111;40.6488889;True;True
5;K007;858 JAMAICA AVENUE;1.0;0.0;0.3333333333333333;0.0;0.0;0.0;1166.6666666666667;0.47333333333333333;2.1;3.2099999999999995;1.2100000000000002;0.9566666666666666;-73.87313338576763;40.68932475;True;True
6;K008;37 HICKS STREET;1.0;1.3333333333333333;0.0;0.3333333333333333;1.3333333333333333;0.0;1000.0;0.4533333333333333;1.6900000000000002;2.5466666666666664;1.1033333333333333;0.7733333333333333;-73.99276080491771;40.700800900000004;True;True
7;K009;80 UNDERHILL AVENUE;2.0;0.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.0;916.6666666666666;0.38999999999999996;1.5599999999999998;2.3033333333333332;0.9933333333333333;0.7199999999999999;-73.9657362;40.6783215;True;True
8;K010;511 7 AVENUE;1.0;0.3333333333333333;1.0;0.0;1.0;0.3333333333333333;1083.3333333333333;0.45999999999999996;1.8699999999999999;2.853333333333333;1.1433333333333333;0.8566666666666666;-73.9667364066186;40.588854196323425;True;True
9;K011;419 WAVERLY AVENUE;1.0;0.6666666666666666;0.3333333333333333;0.6666666666666666;1.0;0.0;916.6666666666666;0.38999999999999996;1.5599999999999998;2.3033333333333332;0.9933333333333333;0.7199999999999999;-73.96583810763471;40.6855509;True;True
